name latitude longitude
SAA111 68.33019 27.55062
SAA112 68.33025 27.55076
SAA120 68.33881 27.53543
SOD011 67.36187 26.63378
SOD012 67.36179 26.63378
SOD013 67.36195 26.63378
SOD021 67.36691 26.65176
SOD022 67.36685 26.65162
SOD023 67.36691 26.65196
SOD031 67.36702 26.65064
SOD032 67.367 26.65056
SOD033 67.36696 26.65073
SOD071 67.35687 26.68492
SOD072 67.35693 26.68506
SOD073 67.35681 26.68478
SOD081 67.38425 26.62529
SOD082 67.38419 26.62515
SOD083 67.38431 26.62515
SOD091 67.37079 26.6398
SOD092 67.37074 26.63978
SOD093 67.37083 26.63971
SOD101 67.35919 26.68595
SOD102 67.35922 26.68595
SOD103 67.35917 26.68594
SOD130 67.25729 26.74857
SOD140 67.15288 26.72914
SODAWS 67.3621 26.6333
